площа	окружність	дов. головної осі	дфаметр Фарета

51329	645019.24	336.535400390625	255.64450432526644
36473	458333.24	266.5491027832031	215.496788642257
67593	849398.69	350.2588195800781	293.36339333203085
53850.5	676705.34	325.0845947265625	261.84840290473585
65974	829053.73	372.7800598144531	289.82875241141556
29006	364500.15	241.86849975585938	192.175925221106
50244	631384.73	283.0711975097656	252.92814727837927
56133	705388.08	321.764404296875	267.3401491819343
41924.5	526838.8	263.7537841796875	231.04097319144353
48058	603914.64	311.3274230957031	247.36480356122303
62447.5	784738.43	361.85870361328125	281.97628707011705
28336.5	356086.96	241.47042846679688	189.94512986488476
53107.5	667368.53	290.5809326171875	260.0357073980853
33318	418686.34	290.13751220703125	205.96551932662453
56751	713154.1	334.3458557128906	268.8077703550722
72464.5	910615.76	366.8209533691406	303.7509950427508
26203.5	329282.89	247.92185974121094	182.656323215124
30803.5	387088.2	240.66677856445312	198.04099150491442
31623.5	397392.62	223.41802978515625	200.65963904814646
35477	445817.13	231.18911743164062	212.5340427521421
34609.5	434915.8	238.0981903076172	209.9194703297234
34187	429606.51	260.2786560058594	208.6342261371825
51072.5	641795.96	305.000244140625	255.00495416459384
32723	411209.35	220.68251037597656	204.11814623489192
17274	217071.49	154.3411102294922	148.3035397276653
18521	232741.75	156.94422912597656	153.5632430239735
47978	602909.33	311.2389831542969	247.15882925217062
35130	441456.6	238.7991943359375	211.49209253905042
38155	479469.87	255.54798889160156	220.40974304547007
40607	510282.61	275.33056640625	227.38170153523953
34133	428927.93	223.9930877685547	208.4693871541942
22523.5	283038.65	181.34442138671875	169.34524169826102
19294	242455.55	169.46473693847656	156.73507513036202
31904.5	400923.77	240.61451721191406	201.54917775819132
39230	492978.72	255.67376708984375	223.49314830652065
27764	348892.71	235.9780731201172	188.01654905892474
36606	460004.56	225.9500274658203	215.88933918694403
36591.5	459822.35	253.98907470703125	215.84657699666377
49010.5	615884.11	271.89422607421875	249.80413668961268
43299	544111.28	253.07122802734375	234.79778331042186
