площа	окружність	дов. головної осі	дфаметр Фарета


18308.5	230071.4	180.23507690429688	152.6797504739372
15740.5	197800.96	158.88540649414062	141.56774722338358
8073.5	101454.59	136.70018005371094	101.38786645560373
11252	141396.8	135.45396423339844	119.69332210846206
12934	162533.44	144.84104919433594	128.32801826415226
12324	154867.95	146.3167266845703	125.26533498664404
20306.5	255179	186.7216796875	160.795021114351
18272	229612.72	184.12210083007812	152.52748264296795
9176.5	115315.3	137.65945434570312	108.09201026099117
13567	170487.95	156.35264587402344	131.43074565497204
10337	129898.57	119.43022918701172	114.72348135376375
12816.5	161056.89	133.97312927246094	127.74378507425797
10524	132248.48	139.41065979003906	115.75652451932397
11851	148924.06	138.76840209960938	122.83794952968083
8102.5	101819.02	150.29783630371094	101.56979576240495
12400.5	155829.28	164.02613830566406	125.65351954676154
10090	126794.68	124.283203125	113.34454996327699
9799	123137.87	142.04612731933594	111.6981391915723
11226.5	141076.36	161.82757568359375	119.55761685885724
10372	130338.4	135.49073791503906	114.91753807836778
12702	159618.04	151.71176147460938	127.171886426309
11065.5	139053.17	209.0929412841797	118.69722904207555
13571	170538.22	188.58062744140625	131.45011929093445
10774	135390.08	148.25625610351562	117.12336596502273
15174	190682.11	170.71217346191406	138.99689511572322
12258	154038.57	171.08322143554688	124.92946145470901
14057	176645.47	156.72988891601562	133.78313899868766
14956	187942.64	153.72021484375	137.99482102984553
10189	128038.75	156.85511779785156	113.89924372578851
9222	115887.07	119.21812438964844	108.3596561527752
11690	146900.87	145.0206298828125	122.0006978584715
16808.5	211221.84	167.9334259033203	146.29165009555734
12759	160334.32	158.98680114746094	127.45690782094135
6394	80349.37	100.23847961425781	90.22800922682839
13449	169005.12	163.65267944335938	130.85793303099055
6037	75863.18	109.750244140625	87.67295553114528
15511	194916.97	155.33111572265625	140.53191302471873
10692	134359.63	145.4371337890625	116.67680665971434
7664	96308.66	133.4810333251953	98.78313555891151
16193	203487.24	152.33782958984375	143.58818874787886
7357	92450.79	124.62035369873047	96.78441677572167
9230	115987.6	123.83035278320312	108.4066464655445
10498.5	131928.04	150.55267333984375	115.61619852080463
6785	85262.82	112.37296295166016	92.9458461203516
19490	244918.56	215.4659881591797	157.52916786071182
14173	178103.17	161.43983459472656	134.3340019039538
8750.5	109962.03	120.03855895996094	105.55322181821377
10204.5	128233.53	128.1631317138672	113.98584532410139
14019.5	176174.23	135.34608459472656	133.6045725168664
4885	61386.72	81.96111297607422	78.86555126309123
6179	77647.6	102.30623626708984	88.6980673234686
11229	141107.78	144.37277221679688	119.57092810474937
8767	110169.37	126.18453216552734	105.65269087294072
15776	198247.06	155.7152099609375	141.7272982094202
12078	151776.62	140.9652099609375	124.0088191271544
13265	166692.91	147.14920043945312	129.9596959095855
13054	164041.4	142.3674774169922	128.9219493219553
26357.5	331218.11	198.77352905273438	183.192279587206
12294	154490.96	143.3404083251953	125.11277697730992
12689	159454.68	146.4297332763672	127.1067920417492
11708	147127.07	127.42296600341797	122.09458869974249
9045	113662.82	140.9028778076172	107.31473189702123
9450	118752.2	117.34888458251953	109.69099187147178
6663	83729.73	95.4518814086914	92.1064334700372
16724	210159.98	166.26222229003906	145.92346674250464
