площа	окружність	дов. головної осі	дфаметр Фарета

2723.5	34224.51	76.61627197265625	58.88690771373732
3361.5	42241.85	89.13935852050781	65.42166865517304
1973	24793.45	65.09906768798828	50.12087012176141
2933	36857.17	79.1467056274414	61.10983214433036
2527.5	31761.5	73.79704284667969	56.7284139503135
3207	40300.35	83.02338409423828	63.90054162497895
2240.5	28154.95	73.35594177246094	53.41060943276282
2741.5	34450.71	76.63003540039062	59.08118323029295
3009	37812.21	82.51380920410156	61.89650870693843
3787	47588.85	93.63451385498047	69.438880721913
3552	44635.75	89.20027923583984	67.24988373892774
4341	54550.61	99.8824462890625	74.34468954602838
2492.5	31321.68	76.59214782714844	56.33426635052944
3941	49524.07	96.07328033447266	70.83669279265709
3527	44321.59	87.50025177001953	67.01280380853288
4289	53897.16	99.59110260009766	73.89806768359449
2154	27067.96	67.99420928955078	52.36943745506095
2506.5	31497.61	81.7251968383789	56.49225538849273
3353	42135.04	84.4041519165039	65.33890260401533
3694.5	46426.46	93.4384994506836	68.58559249597585
2452.5	30819.02	64.8609848022461	55.88040786772218
2393	30071.32	57.48847198486328	55.198389745999336
2796.5	35141.86	89.80282592773438	59.670883912104756
3317	41682.65	90.47986602783203	64.98719543022713
2935.5	36888.58	98.05523681640625	61.135870678105746
3278	41192.56	88.62751770019531	64.60401866480028
3763.5	47293.54	94.28575897216797	69.22309604901231
2696.5	33885.22	81.57615661621094	58.59428668717084
3398.5	42706.81	89.49893188476562	65.7807311663716
3209.5	40331.77	97.21330261230469	63.925443438645814
3581.5	45006.46	84.86456298828125	67.52856750641898
3060.5	38459.38	86.57591247558594	62.423950745382704
3411	42863.89	83.06194305419922	65.90159396472622
3097	38918.05	79.46734619140625	62.79508635271393
3364.5	42279.55	82.59013366699219	65.45085521413341
3990	50139.82	96.26792907714844	71.27570261662314
3339	41959.11	80.97511291503906	65.20235302403364
2618	32898.76	64.78131866455078	57.735094423726856
3059.5	38446.81	84.26568603515625	62.41375158662737
3525.5	44302.74	91.70417022705078	66.99855233483643
3710	46621.23	93.0252456665039	68.72931478610458
2632	33074.69	64.60611724853516	57.88926050437117
4156	52225.84	91.57597351074219	72.74327149585271
3766	47324.95	94.77059936523438	69.24608382769831
4029	50629.91	90.1798324584961	71.62319544489739
3579	44975.04	85.03863525390625	67.50499485673002
4189	52640.53	99.90612030029297	73.03150315374589
2503	31453.63	71.8985366821289	56.45279958046467
3493.5	43900.62	90.99961853027344	66.69379543504996
2268	28500.53	60.0653076171875	53.73739189297662
2236	28098.4	59.62766647338867	53.356945396338276
1915.5	24070.88	55.150081634521484	49.38512273894036
1777.5	22336.72	59.12907409667969	47.57292602696151
5131.5	64484.33	95.0484848022461	80.83086492057652
4034.5	50699.02	84.28156280517578	71.67206529209281
5467	68700.35	99.62213897705078	83.43141249593666
4158.5	52257.25	85.54499053955078	72.76514719823753
3748	47098.76	79.62623596191406	69.08040108212596
5323	66890.79	96.61319732666016	82.32529439136718
4069.5	51138.85	84.73455047607422	71.98227786962389
4189	52640.53	85.86953735351562	73.03150315374589
6478	81404.95	106.70777130126953	90.81875230806898
6087	76491.5	103.57469940185547	88.0352719584766
7694	96685.66	116.27699279785156	98.97628532730626
4769	59929.02	91.649169921875	77.92354835890106
5267	66187.07	96.46666717529297	81.89110258214932
5384.5	67663.62	97.35493469238281	82.79950681390852
7022	88241.05	110.95794677734375	94.55521182425807
6780	85199.99	109.0230484008789	92.91159299734562
3881.5	48776.37	81.79401397705078	70.29992384696824
4790	60192.92	92.5064697265625	78.09492569483263
5756	72332.03	100.62580871582031	85.60821700920769
6093	76566.9	103.12628936767578	88.07864977434285
5588	70220.88	102.33998107910156	84.34964478870133
5996	75347.96	109.41889190673828	87.37473496516047
4440	55794.69	94.5634994506836	75.18765575960008
4535.5	56994.77	95.1106185913086	75.99195980593164
3109.5	39075.13	79.08486938476562	62.92168437314746
5612.5	70528.76	106.19597625732422	84.5343536370043
5836	73337.34	107.94758605957031	86.20107878138423
3965	49825.66	89.11058807373047	71.05205693626976
4381.5	55059.55	98.63309478759766	74.6906892809078
5663	71163.36	106.51788330078125	84.9138124325791
3353	42135.04	81.7823715209961	65.33890260401533
4423	55581.06	94.0809097290039	75.04357738250239
3697	46457.87	86.08878326416016	68.6087938742979
4095.5	51465.57	90.21903228759766	72.21185882846986
4770	59941.59	97.5390396118164	77.93171773024592
5484.5	68920.26	104.87908172607422	83.56483879658956
2704.5	33985.75	73.40119171142578	58.6811413380504
2666	33501.94	73.2569580078125	58.261965520088175
3256.5	40922.39	80.76209259033203	64.39180520400136
