площа	окружність	дов. головної осі	дфаметр Фарета

1252.5	15739.38	46.148719787597656	39.93410234099161
1024	12867.96	42.155094146728516	36.1081333470564
1590	19980.53	51.963775634765625	44.99389820996741
1293	16248.32	47.36883544921875	40.57460697705605
1725	21676.99	53.88042068481445	46.865106579076034
1257	15795.93	53.59624099731445	40.005775929634204
687	8633.1	37.329322814941406	29.575590733458846
2101	26401.94	59.58793640136719	51.72113961900469
1713	21526.19	53.92174530029297	46.70181302831116
1288.5	16191.77	48.430137634277344	40.50393997367734
1375.5	17285.04	49.95947265625	41.84902619874465
914.5	11491.95	39.483375549316406	34.12297706326789
2004	25183.01	60.372737884521484	50.51308788471822
1975	24818.58	50.33689880371094	50.14626706796774
1349	16952.03	51.116519927978516	41.44393979640129
2040	25635.4	61.819332122802734	50.964778732569144
1608	20206.72	54.06510925292969	45.247863904654565
1027	12905.66	41.9653434753418	36.16098743733379
1149.5	14445.04	47.51459884643555	38.256879860661265
1085.5	13640.8	45.092437744140625	37.17662606813614
1013	12729.73	42.91168975830078	35.91366952591617
1192	14979.11	48.559635162353516	38.95768906550174
964	12113.98	40.63217544555664	35.03431062722223
1043	13106.72	44.50684356689453	36.44158126589425
1310.5	16468.23	48.614166259765625	40.84826095901062
1439.5	18089.29	51.862850189208984	42.811544291770964
1271.5	15978.14	50.042694091796875	40.23585566544794
1166	14652.39	46.94236373901367	38.530472475187736
1686	21186.9	55.018123626708984	46.33229837190774
1664	20910.44	56.73152542114258	46.029019134012735
1039	13056.46	44.10532760620117	36.371635747926355
1301.5	16355.13	49.63225173950195	40.70775438995394
1478	18573.1	53.76715850830078	43.380272556988054
1298	16311.15	50.122901916503906	40.65298179797198
975.5	12258.49	41.357383728027344	35.242661305428555
1450.5	18227.52	52.966102600097656	42.97480610355739
1374.5	17272.48	51.69982147216797	41.83381113690792
1127	14162.3	37.96906280517578	37.88061465864207
1157	14539.29	38.602840423583984	38.381481905452574
1159	14564.42	38.74119567871094	38.414640859287665
2106	26464.78	63.740482330322266	51.782646525764335
930	11686.72	43.32304382324219	34.41093978088511
934.5	11743.27	48.72426986694336	34.49409158906797
1261	15846.19	48.27897644042969	40.06937815727916
1108	13923.54	44.15654754638672	37.55994429663814
814.5	10235.31	38.77094268798828	32.20331674201883
1102	13848.14	43.431400299072266	37.45810964661924
938.5	11793.54	43.523460388183594	34.56783639069634
521.5	6553.36	29.745800018310547	25.768089230274473
1115.5	14017.79	43.828609466552734	37.686850653139935
1497	18811.86	50.26423645019531	43.65821341361255
1152	14476.46	44.32890319824219	38.298458918537534
983	12352.74	44.45594787597656	35.37788111906457
1533.5	19270.53	51.11385726928711	44.187247502547294
956	12013.45	38.74732971191406	34.88863718700998
1068.5	13427.17	40.767120361328125	36.88436597732868
1888	23725.31	56.41777038574219	49.02934081200753
1310.5	16468.23	51.1195068359375	40.84826095901062
874	10983.01	41.45644760131836	33.35882734897215
1274	16009.56	46.5560188293457	40.27539174226115
932	11711.86	39.97037124633789	34.44792091974742
1939	24366.19	55.99784469604492	49.68713593317168
1384	17391.86	43.020755767822266	41.97813156768016
946.5	11894.07	38.55819320678711	34.71485602867786
1712	21513.63	53.99749755859375	46.68817945247596
879	11045.84	38.75138854980469	33.454111254406506
1017.5	12786.28	45.0013542175293	35.99334989644654
1161	14589.56	44.37609100341797	38.44777121547521
853	10719.11	38.060970306396484	32.9556267071208
5040.5	63340.79	90.58406066894531	80.11094759917391
4349.5	54657.43	79.22161865234375	74.41744015904868
4812	60469.38	87.88929748535156	78.27406140775885
3895.5	48952.3	88.10091400146484	70.42659047913527
4054	50944.07	86.63619232177734	71.84506325667999
3795	47689.38	85.99918365478516	69.51218650186414
3421	42989.55	79.55187225341797	65.9981248410816
5804.5	72941.5	97.08165740966797	85.9681274509062
3475.5	43674.42	67.20672607421875	66.52175612329442
4132	51924.24	98.83737182617188	72.53292906567121
4054	50944.07	86.62103271484375	71.84506325667999
5436.5	68317.07	100.58354949951172	83.19835806644691
5207	65433.09	99.14411926269531	81.42332779637536
2628.5	33030.71	77.46257781982422	57.85075750010863
3447	43316.28	78.327880859375	66.24844685501772
2298.5	28883.8	73.66908264160156	54.09751467095112
2979.5	37441.5	74.26583099365234	61.59234711827775
3915.5	49203.62	77.126953125	70.6071486282411
2589	32534.33	64.90778350830078	57.414433562644646
3219	40451.15	77.44149780273438	64.01998199392506
2521.5	31686.1	64.02954864501953	56.66104051329902
3055.5	38396.55	75.44510650634766	62.37293827404871
2636	33124.95	69.80233764648438	57.93323260376456
7298	91709.37	119.20357513427734	96.39555071411344
3029.5	38069.82	70.12384796142578	62.10699800163566
5082	63862.3	107.30748748779297	80.44006070574596
4725	59376.1	93.48796844482422	77.56324418739615
4986.5	62662.21	89.8244400024414	79.68066885902684
2633.5	33093.54	65.54612731933594	57.905753954680975
4048	50868.67	81.15980529785156	71.79187751471568
3227	40551.68	72.12236022949219	64.09948526205473
3819	47990.97	92.87527465820312	69.73164146457178
2702	33954.33	67.12930297851562	58.654013075614955
3424.5	43033.54	81.49475860595703	66.03187730896013
3431.5	43121.5	79.716552734375	66.09933053941401
3136	39408.14	83.47801208496094	63.189233357348705
3280	41217.7	80.95207214355469	64.62372402400943
2315	29091.15	66.56404876708984	54.2913395125033
3731.5	46891.41	84.25897216796875	68.92817537973322
4317	54249.02	100.80529022216797	74.13889070266494
3213	40375.75	96.77616119384766	63.96028969004188
2887	36279.11	73.2329330444336	60.62872723099517
5073.5	63755.48	92.84056091308594	80.37276174310453
