площа	окружність	дов. головної осі	дфаметр Фарета

28258	355100.5	269.19659423828125	189.68184693092334
10021.5	125933.88	131.72976684570312	112.95915234085032
11716.5	147233.88	132.52174377441406	122.13890095252017
10851	136357.69	122.39543914794922	117.54115151691025
13908	174773.08	144.4619903564453	133.0722194455952
12462	156602.11	148.38894653320312	125.9647220712593
10305	129496.45	151.2969512939453	114.54577036493252
10577	132914.5	139.51611328125	116.04763963417703
13700	172159.28	153.89215087890625	132.07339536360732
11314	142175.92	158.4475860595703	120.02263207051256
14675	184411.49	148.27767944335938	136.69231989760257
16157.5	203041.13	169.22024536132812	143.43070781411626
8407	105645.48	112.23779296875	103.46074063425466
17501.5	219930.34	163.5259552001953	149.27693020752554
9566	120209.9	130.50265502929688	110.362174158253
12310	154692.02	146.01268005371094	125.19416438352809
14209	178555.56	139.53553771972656	134.50450063526472
12972	163010.96	144.79098510742188	128.51639340685114
13734	172586.53	149.0245361328125	132.23718050303674
15947.5	200402.2	165.0722198486328	142.49557059664698
11593	145681.93	137.78480529785156	121.49348147993267
16647	209192.37	203.4246368408203	145.58715156635992
9749.5	122515.83	132.55715942382812	111.41565842104721
9886	124231.14	145.5624542236328	112.1928970089097
12758	160321.76	135.34030151367188	127.45191293868918
9979	125399.81	131.26034545898438	112.71937462970679
14876	186937.33	142.99484252929688	137.62525737480124
7872.5	98928.75	120.99944305419922	100.11782216931992
8643	108611.14	135.56857299804688	104.90285689696927
22029	276824.58	186.1358642578125	167.4759503062183
9367	117709.19	126.59424591064453	109.20821771063873
15520	195030.07	148.6337432861328	140.5726777659504
18381	230982.46	156.6158905029297	152.98175078020589
9722	122170.26	128.68484497070312	111.25841475553771
11036	138682.47	125.51289367675781	118.53890338491097
14454.5	181640.6	148.87298583984375	135.66149416608388
13559.5	170393.7	153.82456970214844	131.39441238818506
12809	160962.64	133.9866943359375	127.70640284853653
6611	83076.28	106.81047058105469	91.74631671213925
11533	144927.95	127.9564208984375	121.17867662848374
9523	119669.55	139.0677947998047	110.11385101118276
7225	90792.03	105.38426208496094	95.91222920311857
6962.5	87493.36	113.71727752685547	94.15375898082121
11125	139800.87	148.77574157714844	119.01592303208292
12009.5	150915.83	130.89434814453125	123.65666303316185
6462	81203.89	118.99288940429688	90.70652643596613
9053	113763.35	121.86347961425781	107.36217955354404
10123	127209.37	141.90634155273438	113.52974901475847
15033	188910.25	156.89010620117188	138.3495936965617
8844	111136.98	114.22163391113281	106.11564697836874
7952	99927.78	110.56639862060547	100.62206944668756
7715	96949.55	111.7059326171875	99.11126619931652
12119	152291.85	161.7400360107422	124.21912108305
9214	115786.54	117.70941162109375	108.31264545375018
9240	116113.26	110.41788482666016	108.46535572869756
10971.5	137871.94	121.68299865722656	118.19199492800618
12860.5	161609.81	149.05174255371094	127.96287416694953
8582	107844.59	118.78824615478516	104.5320131486865
10482	131720.7	154.2640838623047	115.5253085168526
14194.5	178373.35	149.71286010742188	134.43585354265903
19758	248286.35	181.96075439453125	158.60853358151115
9664.5	121447.69	124.71104431152344	110.92891228211417
13502	169671.14	145.42469787597656	131.11552285299467
9506	119455.92	130.17091369628906	110.01552214234343
11824	148584.77	135.82473754882812	122.69793957906776
12230	153686.71	137.76824951171875	124.78669653497138
17104	214935.2	157.1291046142578	147.57197963417792
13506	169721.4	160.0359344482422	131.13494305940392
11004	138280.34	169.45802307128906	118.36692084474332
7219	90716.63	114.36888122558594	95.87239578441304
9973	125324.41	127.5140151977539	112.68548255939528
11519.5	144758.31	136.95335388183594	121.10773276540482
10210.5	128308.93	140.79930114746094	114.0193508643089
7980	100279.64	139.45849609375	100.79906530809994
9975.5	125355.83	146.83584594726562	112.69960549401056
8709	109440.52	135.90966796875	105.30262672459092
12042	151324.23	138.5789337158203	123.823869256702
8684	109126.36	138.83758544921875	105.15137757766254
9671	121529.37	115.1319580078125	110.96620943843111
